,0,1,2,3,4,5
bubble sort,4.0e-07,1.2e-06,2.5e-06,7.6e-06,3.4e-05,1.6e-04
insertion sort,3.0e-07,1.0e-06,1.9e-06,5.7e-06,1.7e-05,4.8e-05
mergesort,9.0e-07,1.3e-05,1.5e-05,2.9e-05,6.6e-05,1.4e-04
mergesort insert,2.1e-06,1.5e-06,2.0e-06,7.5e-06,2.5e-05,6.4e-05
numpy sort,3.0e-06,3.0e-06,2.7e-06,2.9e-06,2.8e-06,3.1e-06
python sort,8.0e-07,9.0e-07,8.0e-07,8.0e-07,9.0e-07,1.2e-06
quicksort,5.0e-07,1.8e-06,4.6e-06,6.6e-06,1.6e-05,3.6e-05
quicksort insert,5.0e-07,1.4e-06,1.6e-06,6.5e-06,1.4e-05,3.7e-05
